id	DESeq2_logFC	DESeq2_padj	edgeR_logFC	edgeR_padj	maxPadj	minPadj
BIRC3	11.2348093767711	3.60170556285616e-123	11.2455207523573	8.95252733690469e-146	3.60170556285616e-123	8.95252733690469e-146
CD44	6.42609642414986	0	6.48482586146891	1.50592142408095e-145	1.50592142408095e-145	0
CLU	-11.2909229623677	3.0771637375015e-116	-11.1907872106104	4.26231537774032e-145	3.0771637375015e-116	4.26231537774032e-145
GMFG	9.99667986722996	5.63281344030099e-103	9.99292925898741	1.12032304457515e-144	5.63281344030099e-103	1.12032304457515e-144
RCSD1	7.58669847380121	3.03579874894404e-288	7.64106863062816	1.98833683949206e-144	1.98833683949206e-144	3.03579874894404e-288
CDH3	-12.6167454076419	6.53531048422025e-48	-12.4080271599328	2.38720542051853e-144	6.53531048422025e-48	2.38720542051853e-144
CYP2S1	-11.1897441122112	1.77929933624734e-118	-11.0874696949955	5.06321120146206e-144	1.77929933624734e-118	5.06321120146206e-144
LAT2	7.64574558089105	8.4469167412119e-275	7.69532640972336	7.49028690815597e-144	7.49028690815597e-144	8.4469167412119e-275
HLA-DMB	7.37907348932369	1.20404006112568e-300	7.43616341300727	8.4951572582104e-144	8.4951572582104e-144	1.20404006112568e-300
RGS1	16.0137273450327	1.25172921771556e-48	16.4811101545086	1.11450616162249e-143	1.25172921771556e-48	1.11450616162249e-143
CGNL1	-10.5400098308663	4.37108025552616e-112	-10.4203976113188	6.28854921930813e-143	4.37108025552616e-112	6.28854921930813e-143
SLAMF6	12.9815526895358	2.37726256043391e-36	12.7028676716834	1.54961260365971e-142	2.37726256043391e-36	1.54961260365971e-142
GIMAP6	13.8295445635792	5.44327233353154e-39	14.2994710960985	1.69288023030418e-142	5.44327233353154e-39	1.69288023030418e-142
PBX1	-12.1252813610148	8.42844029579692e-58	-11.9488539612969	2.15825120225828e-142	8.42844029579692e-58	2.15825120225828e-142
TNFAIP3	6.61620560445336	0	6.67320858555226	2.25410351475311e-142	2.25410351475311e-142	0
NLGN4X	-13.5616498938731	7.92610958496835e-31	-13.2993547778566	3.10518358538102e-142	7.92610958496835e-31	3.10518358538102e-142
PCDH1	-11.5627611765374	2.53770380072767e-74	-11.4288657636144	3.31529343293458e-142	2.53770380072767e-74	3.31529343293458e-142
EVI2B	11.4243841361304	8.71977432360865e-51	11.2947780839687	8.20059057800235e-142	8.71977432360865e-51	8.20059057800235e-142
LTA	12.0378635548678	4.47259194849145e-64	11.9453948944105	3.37052575434268e-141	4.47259194849145e-64	3.37052575434268e-141
PIK3AP1	6.64493355069034	0	6.69873436495853	1.49833678033011e-140	1.49833678033011e-140	0
LPXN	7.39029432156047	2.19889590498497e-272	7.44014626707636	2.82886481712223e-139	2.82886481712223e-139	2.19889590498497e-272
POU5F1	-8.77305046708954	0	-8.70459279900601	2.95785991691451e-139	2.95785991691451e-139	0
MYO1G	11.3816308310882	2.92239225746793e-142	11.4059045865564	8.71284569888292e-139	8.71284569888292e-139	2.92239225746793e-142
MFGE8	-11.3438940122959	2.2333555688762e-228	-11.271169175801	4.7255610113332e-138	4.7255610113332e-138	2.2333555688762e-228
HLA-DRB1	8.03960499998556	6.71280662432803e-242	8.10026261725349	3.70619777280323e-137	3.70619777280323e-137	6.71280662432803e-242
PTPRZ1	-12.37494881456	1.05800012408436e-69	-12.2238571284325	5.32547748260481e-136	1.05800012408436e-69	5.32547748260481e-136
TRIM71	-14.47626179819	1.10839515441783e-32	-15.3419072821271	6.08129187112397e-136	1.10839515441783e-32	6.08129187112397e-136
GABRB3	-11.5205543025192	1.08157018974457e-64	-11.3591557858464	1.34871657395645e-135	1.08157018974457e-64	1.34871657395645e-135
IL32	7.24127636469617	4.76473488036037e-246	7.29907524560648	2.91981700696499e-135	2.91981700696499e-135	4.76473488036037e-246
SLC2A5	9.71165578227087	2.73042889346144e-117	9.72781687035272	3.6109415418493e-135	2.73042889346144e-117	3.6109415418493e-135
SALL4	-13.7710169059894	2.16785294056942e-31	-13.5077685116166	8.91159768826443e-135	2.16785294056942e-31	8.91159768826443e-135
COL4A1	-14.0216662982602	3.8857400423825e-31	-14.887388503295	1.71581813037657e-134	3.8857400423825e-31	1.71581813037657e-134
TCF7L1	-8.97177684514807	1.12438671650988e-197	-8.88238832130658	3.06732171729477e-134	3.06732171729477e-134	1.12438671650988e-197
MYCN	-13.8921767164422	1.3175953094203e-30	-14.7579435819876	6.40139897247404e-134	1.3175953094203e-30	6.40139897247404e-134
AICDA	13.1554713691351	1.82787806224538e-47	12.9625867830241	6.88037315867854e-134	1.82787806224538e-47	6.88037315867854e-134
SALL1	-13.928865212887	9.00333257835669e-31	-14.7946994226481	1.09278439799966e-133	9.00333257835669e-31	1.09278439799966e-133
PDPN	-13.0471303862093	7.94388560722364e-29	-12.7847652396795	2.11710799001209e-133	7.94388560722364e-29	2.11710799001209e-133
TPM1	-9.10096614953526	3.47561790510549e-215	-9.02044946802407	2.48883219131784e-133	2.48883219131784e-133	3.47561790510549e-215
KIF1A	-9.88823336655016	3.23054392903902e-224	-9.81954201326263	5.68667871849807e-133	5.68667871849807e-133	3.23054392903902e-224
GRB10	-10.9020245459659	1.13133668014758e-70	-10.748407767018	7.04318455314859e-133	1.13133668014758e-70	7.04318455314859e-133
GPR15	13.9736427717239	7.35460707306961e-39	14.4420882165398	7.04318455314859e-133	7.35460707306961e-39	7.04318455314859e-133
LY86	13.72007721406	4.90239461008769e-38	14.19017600879	8.30060037354546e-133	4.90239461008769e-38	8.30060037354546e-133
EPHA1	-14.506849596418	1.10121457953543e-32	-15.3727700389142	6.2786850510282e-132	1.10121457953543e-32	6.2786850510282e-132
P2RY10	13.5054683681445	1.73717392751157e-37	13.9759206911134	3.10105918855715e-131	1.73717392751157e-37	3.10105918855715e-131
XAF1	10.2599082697426	5.19941787842673e-74	10.2200050503426	1.9621346455041e-130	5.19941787842673e-74	1.9621346455041e-130
LPHN2	-11.0951953411924	3.93839346015854e-77	-10.9672053655875	4.30789661421177e-129	3.93839346015854e-77	4.30789661421177e-129
FCER2	10.3283678801075	1.1848630099489e-163	10.3728210884942	4.49731655275628e-129	4.49731655275628e-129	1.1848630099489e-163
FGFR2	-12.8249326462147	7.20574073667467e-28	-12.562476785914	5.92214776882607e-129	7.20574073667467e-28	5.92214776882607e-129
RBFOX2	-8.9223657657971	1.01456966294143e-164	-8.84517582868553	8.44022684868497e-129	8.44022684868497e-129	1.01456966294143e-164
UBA7	7.89277911689377	1.85842240932612e-180	7.94048975730466	1.32557738906526e-128	1.32557738906526e-128	1.85842240932612e-180
LAMA1	-10.7208126371852	2.86494533576089e-75	-10.5964692057348	1.61504337165296e-128	2.86494533576089e-75	1.61504337165296e-128
ZFP42	-12.5919235924224	5.48591103887118e-33	-12.3241884308482	2.72792899051555e-128	5.48591103887118e-33	2.72792899051555e-128
SCNN1A	-13.2559238071534	2.81741301825101e-29	-13.0081625141357	3.06941566594568e-128	2.81741301825101e-29	3.06941566594568e-128
TNFRSF17	13.4781947457355	3.62588118242178e-37	13.9484998412138	3.30263807957767e-128	3.62588118242178e-37	3.30263807957767e-128
SAMD9L	12.892742713172	1.19446763796538e-33	12.6133732244513	1.24906876654202e-127	1.19446763796538e-33	1.24906876654202e-127
ARHGAP15	10.2919057870705	7.75809986483765e-74	10.2491694048273	2.06880549190553e-127	7.75809986483765e-74	2.06880549190553e-127
CRABP1	-11.5924706242094	1.72929878023448e-63	-11.4381103140423	5.11963050345009e-127	1.72929878023448e-63	5.11963050345009e-127
CECR2	-10.0581612566311	2.07347601979882e-93	-9.9481968031677	5.99354625126778e-127	2.07347601979882e-93	5.99354625126778e-127
IFIT3	7.65052746049869	6.55480143538495e-184	7.69580308250718	9.72754472006927e-127	9.72754472006927e-127	6.55480143538495e-184
L1TD1	-10.7871496825012	6.56007056840031e-146	-10.7021611366395	4.34108838295576e-126	4.34108838295576e-126	6.56007056840031e-146
CD52	8.31864223746403	2.3203078604884e-155	8.36547968124024	4.71673251439028e-126	4.71673251439028e-126	2.3203078604884e-155
TNFRSF14	10.2004254225771	7.9470872516578e-91	10.1956003740264	5.924823315338e-126	7.9470872516578e-91	5.924823315338e-126
RBPMS2	-9.69445544088383	2.52012037870448e-121	-9.61733541594814	1.34256948645434e-125	2.52012037870448e-121	1.34256948645434e-125
CLEC17A	13.2075626270741	1.43160024710576e-34	12.9284008354768	3.51960224029483e-125	1.43160024710576e-34	3.51960224029483e-125
ACSL5	10.5684279158	2.19126393927687e-61	10.4961494599303	3.81123066854948e-125	2.19126393927687e-61	3.81123066854948e-125
ADD2	-9.99491332942644	3.20324752004688e-98	-9.88244718697609	4.30403802108984e-125	3.20324752004688e-98	4.30403802108984e-125
TJP1	-9.7992970292723	8.89170928526868e-121	-9.70033112710956	3.61810167898729e-124	8.89170928526868e-121	3.61810167898729e-124
CACHD1	-11.9294914028546	1.99941158009973e-30	-11.6577969692657	5.00804822882047e-124	1.99941158009973e-30	5.00804822882047e-124
FAIM3	10.3534932510877	2.73496308102472e-107	10.3664587889214	6.24406458125879e-124	2.73496308102472e-107	6.24406458125879e-124
LOC650368	-13.6190024741138	2.29181117899744e-29	-14.4846744729323	7.14943465772537e-123	2.29181117899744e-29	7.14943465772537e-123
APBB1IP	10.420846012499	4.63849317116627e-81	10.4012117821179	7.66751705018812e-123	4.63849317116627e-81	7.66751705018812e-123
ITGB7	9.14980371168124	5.8198607600554e-144	9.19448527311895	4.85085843513189e-122	4.85085843513189e-122	5.8198607600554e-144
ATP1A2	-9.78361561840163	5.95336685894313e-86	-9.67997450551681	1.11565435728148e-121	5.95336685894313e-86	1.11565435728148e-121
ADCY2	-12.7242060565371	2.67448755800318e-27	-12.4764162892241	1.73590957848031e-121	2.67448755800318e-27	1.73590957848031e-121
PDZD4	-10.4792589690277	2.529623367969e-109	-10.3715886405115	2.34832470655442e-121	2.529623367969e-109	2.34832470655442e-121
TLR10	14.829835180935	8.23669084834691e-42	15.2976752966801	3.43995014195497e-121	8.23669084834691e-42	3.43995014195497e-121
PVRL2	-10.8564966953479	1.70032752479093e-81	-10.7366783587929	7.83590063915991e-121	1.70032752479093e-81	7.83590063915991e-121
DOCK8	6.36080840605846	7.89526733386687e-258	6.41754231913363	8.43149298454044e-121	8.43149298454044e-121	7.89526733386687e-258
ZNF462	-9.19447120583269	8.33210236947124e-142	-9.09625557239675	1.28629825324949e-120	1.28629825324949e-120	8.33210236947124e-142
WNT10A	11.4032225837084	9.63460375046874e-48	11.2753108140082	1.54791970430469e-120	9.63460375046874e-48	1.54791970430469e-120
ZNF423	-11.1581590281909	2.03555386922371e-48	-10.9904309761728	1.56270819717523e-120	2.03555386922371e-48	1.56270819717523e-120
SP140	7.31642889736915	8.03158577177447e-195	7.37121984178525	2.01915122379561e-120	2.01915122379561e-120	8.03158577177447e-195
USP44	-10.8214123792875	6.36245618803812e-66	-10.6783737684572	2.19251790546708e-120	6.36245618803812e-66	2.19251790546708e-120
LRMP	11.1731503534318	1.10591451648212e-67	11.115553839367	2.19251790546708e-120	1.10591451648212e-67	2.19251790546708e-120
HCLS1	8.71839059895869	2.85819857936813e-146	8.76727725801461	3.06383110463041e-120	3.06383110463041e-120	2.85819857936813e-146
CTSL2	-9.38837522594131	1.62757986945195e-116	-9.29554060606817	1.40342952047209e-119	1.62757986945195e-116	1.40342952047209e-119
BATF	12.639309257803	1.58505696308774e-32	12.361540653057	1.7676523968848e-119	1.58505696308774e-32	1.7676523968848e-119
CD19	8.24879696633924	4.51618390153825e-143	8.29112777705018	1.88961961825724e-119	1.88961961825724e-119	4.51618390153825e-143
ZIC3	-11.7678422378663	1.55477977901178e-29	-11.5044558400439	2.23025274240753e-119	1.55477977901178e-29	2.23025274240753e-119
CD79A	10.0375191751909	1.06136391486825e-120	10.073165759434	2.24282706461899e-119	2.24282706461899e-119	1.06136391486825e-120
DOCK1	-11.7267740159236	1.65639821184958e-29	-11.4551034534685	2.85420275864943e-119	1.65639821184958e-29	2.85420275864943e-119
ZDHHC22	-12.6309868788216	5.72465373067172e-27	-12.3671920937316	2.85420275864943e-119	5.72465373067172e-27	2.85420275864943e-119
WWC2	-11.6874473437714	6.68687313326878e-41	-11.4788719657112	3.36042683458045e-119	6.68687313326878e-41	3.36042683458045e-119
ARAP3	-10.2420303853502	2.44374972543751e-61	-10.111734560998	4.2423566646185e-119	2.44374972543751e-61	4.2423566646185e-119
FAM46B	-11.3014664057282	3.56104535993028e-59	-11.1499244936851	4.29175723436638e-119	3.56104535993028e-59	4.29175723436638e-119
PAX5	8.86735154171065	1.06069028916779e-122	8.90147360090604	7.44314049219235e-119	7.44314049219235e-119	1.06069028916779e-122
CD226	13.2428941650766	4.4086746213325e-36	12.964569316056	7.44314049219235e-119	4.4086746213325e-36	7.44314049219235e-119
BHLHE40	6.03698752257884	2.96800974219076e-258	6.09677375014822	1.6601061367859e-118	1.6601061367859e-118	2.96800974219076e-258
GYG2	-13.404492760863	1.42796947907808e-28	-14.2702728869577	1.71986259458973e-118	1.42796947907808e-28	1.71986259458973e-118
FBLN1	-13.0108087908593	3.95124624087503e-34	-12.7390050775026	2.06593172000166e-118	3.95124624087503e-34	2.06593172000166e-118
VAT1L	-9.48834876660228	9.4214691490154e-92	-9.37894504952119	5.43192412543868e-118	9.4214691490154e-92	5.43192412543868e-118
GPC3	-10.8586454530508	1.43391919843592e-47	-10.6782540731881	1.13345453252995e-117	1.43391919843592e-47	1.13345453252995e-117
ARHGAP30	7.29910574603995	7.73823091642872e-175	7.35695075398151	1.3946421467316e-117	1.3946421467316e-117	7.73823091642872e-175
TLR7	10.8064432269188	2.49310703351458e-45	10.6737936537799	1.56183511385229e-117	2.49310703351458e-45	1.56183511385229e-117
MZB1	9.47976509362495	1.94216341755959e-89	9.48455340877654	2.39726275616082e-117	1.94216341755959e-89	2.39726275616082e-117
OAS1	9.07366885035854	5.89961086122048e-106	9.09267311351059	4.85666650590062e-117	5.89961086122048e-106	4.85666650590062e-117
ESRP1	-9.94001483942307	1.99916537368929e-94	-9.82339878771384	6.94489193463826e-117	1.99916537368929e-94	6.94489193463826e-117
FREM2	-9.28848050987621	4.55798668936429e-102	-9.19692700257502	8.73550858130414e-117	4.55798668936429e-102	8.73550858130414e-117
NCF1	9.63633197808518	2.65026871965349e-103	9.6541621262308	1.22485578763721e-116	2.65026871965349e-103	1.22485578763721e-116
RAC2	7.72424602267073	1.50259712840505e-166	7.78287393277484	3.60803703158159e-116	3.60803703158159e-116	1.50259712840505e-166
OBSL1	-10.4455627190281	1.84038571814074e-94	-10.3418748612041	3.60803703158159e-116	1.84038571814074e-94	3.60803703158159e-116
BCAM	-13.9857758022272	2.36141163071413e-30	-14.851845334692	7.84635098315387e-116	2.36141163071413e-30	7.84635098315387e-116
LOC100507043	-11.7346204731055	2.48655499229781e-29	-11.4632181589981	9.98860189782947e-116	2.48655499229781e-29	9.98860189782947e-116
SH3BP4	-12.4545903973595	2.75700140728282e-26	-12.1906205866181	1.06118650367863e-115	2.75700140728282e-26	1.06118650367863e-115
GPRC5B	-9.70092721720599	4.86509043442855e-109	-9.59294804186344	1.62217542147318e-114	4.86509043442855e-109	1.62217542147318e-114
GTSF1	9.05084683702438	2.30917923855058e-94	9.04874649310967	2.46446239469573e-113	2.30917923855058e-94	2.46446239469573e-113
NAPSB	10.9811799275483	7.0832422848203e-60	10.9140142242506	3.86515902205467e-113	7.0832422848203e-60	3.86515902205467e-113
PTGIS	-11.5298779909356	2.25734029085674e-28	-11.2582094383119	5.771912293857e-113	2.25734029085674e-28	5.771912293857e-113
FAM84B	-11.7142060598066	4.28044112595494e-29	-11.4414989725439	6.7376614702957e-113	4.28044112595494e-29	6.7376614702957e-113
LIN28B	-11.0226657396567	2.89866500658215e-47	-10.8477796544636	7.36687666123897e-113	2.89866500658215e-47	7.36687666123897e-113
